,射出速度,鎖模力%,射壓峰值1Mpa,射壓峰值2Mpa,射壓峰值3Mpa,輸出,分類,平均射壓
35,100,60,339.03,340.86,339.94,0,1,351.48557
46,180,30,89.21,90.35,84.87,1,2,59.335037
66,120,70,91.09,91.7,91.34,0,2,60.371082
48,160,90,90.98,91.24,91.33,0,2,48.545082
119,100,20,119.8,119.8,119.37,1,0,153.17955
28,120,50,343.01,352.44,351.23,0,1,355.40976
39,100,20,326.2,328.7,327.92,1,1,343.0284
79,100,20,90.56,90.33,90.23,1,2,94.69253
98,140,70,127.95,126.97,126.44,0,0,172.15736
